LAT,LON,YEAR,MO,DY,WS10M
19.5,72.5,2025,2,19,4.85
19.5,73.125,2025,2,19,3.66
19.5,73.75,2025,2,19,3.14
19.5,74.375,2025,2,19,2.94
20,71.875,2025,2,19,4.26
20,72.5,2025,2,19,4.39
20,73.125,2025,2,19,3.6
20,73.75,2025,2,19,3.37
20,74.375,2025,2,19,3.13
18.5,71.875,2025,2,20,6.76
18.5,72.5,2025,2,20,6.37
18.5,73.125,2025,2,20,4.03
18.5,73.75,2025,2,20,3.19
18.5,74.375,2025,2,20,3.11
19,71.875,2025,2,20,6.51
19,72.5,2025,2,20,5.88
19,73.125,2025,2,20,3.96
19,73.75,2025,2,20,3.12
19,74.375,2025,2,20,3.06
19.5,71.875,2025,2,20,5.88
19.5,72.5,2025,2,20,5.29
19.5,73.125,2025,2,20,4.14
19.5,73.75,2025,2,20,3.19
19.5,74.375,2025,2,20,2.97
20,71.875,2025,2,20,4.85
20,72.5,2025,2,20,4.84
20,73.125,2025,2,20,3.99
20,73.75,2025,2,20,3.45
20,74.375,2025,2,20,3.2
18.5,71.875,2025,2,21,6.6
18.5,72.5,2025,2,21,5.92
18.5,73.125,2025,2,21,4.59
18.5,73.75,2025,2,21,3.82
18.5,74.375,2025,2,21,3.28
19,71.875,2025,2,21,6.43
19,72.5,2025,2,21,5.85
19,73.125,2025,2,21,4.34
19,73.75,2025,2,21,3.59
19,74.375,2025,2,21,3.25
19.5,71.875,2025,2,21,6.05
19.5,72.5,2025,2,21,5.72
19.5,73.125,2025,2,21,4.46
19.5,73.75,2025,2,21,3.58
19.5,74.375,2025,2,21,3.12
20,71.875,2025,2,21,5.27
20,72.5,2025,2,21,5.45
20,73.125,2025,2,21,4.48
20,73.75,2025,2,21,3.77
20,74.375,2025,2,21,3.23
18.5,71.875,2025,2,22,5.43
18.5,72.5,2025,2,22,5.39
18.5,73.125,2025,2,22,4.13
18.5,73.75,2025,2,22,3.41
18.5,74.375,2025,2,22,2.91
19,71.875,2025,2,22,5.44
19,72.5,2025,2,22,5.38
19,73.125,2025,2,22,4
19,73.75,2025,2,22,3.25
19,74.375,2025,2,22,3.04
19.5,71.875,2025,2,22,5.35
19.5,72.5,2025,2,22,5.44
19.5,73.125,2025,2,22,4.22
19.5,73.75,2025,2,22,3.33
19.5,74.375,2025,2,22,3.05
20,71.875,2025,2,22,4.78
20,72.5,2025,2,22,5.35
20,73.125,2025,2,22,4.36
20,73.75,2025,2,22,3.63
20,74.375,2025,2,22,3.11
18.5,71.875,2025,2,23,5.14
18.5,72.5,2025,2,23,4.66
18.5,73.125,2025,2,23,3.75
18.5,73.75,2025,2,23,3.31
18.5,74.375,2025,2,23,2.76
19,71.875,2025,2,23,5.2
19,72.5,2025,2,23,4.89
19,73.125,2025,2,23,3.84
19,73.75,2025,2,23,3.22
19,74.375,2025,2,23,2.78
19.5,71.875,2025,2,23,5.14
19.5,72.5,2025,2,23,4.95
19.5,73.125,2025,2,23,3.85
19.5,73.75,2025,2,23,3.21
19.5,74.375,2025,2,23,2.69
20,71.875,2025,2,23,4.63
20,72.5,2025,2,23,4.97
20,73.125,2025,2,23,3.86
20,73.75,2025,2,23,3.3
20,74.375,2025,2,23,2.71
18.5,71.875,2025,2,24,5.05
18.5,72.5,2025,2,24,4.97
18.5,73.125,2025,2,24,3.93
18.5,73.75,2025,2,24,3.23
18.5,74.375,2025,2,24,3.06
19,71.875,2025,2,24,5.12
19,72.5,2025,2,24,4.92
19,73.125,2025,2,24,3.8
19,73.75,2025,2,24,3.04
19,74.375,2025,2,24,2.91
19.5,71.875,2025,2,24,5.11
19.5,72.5,2025,2,24,4.83
19.5,73.125,2025,2,24,3.79
19.5,73.75,2025,2,24,2.91
19.5,74.375,2025,2,24,2.69
20,71.875,2025,2,24,4.69
20,72.5,2025,2,24,4.75
20,73.125,2025,2,24,3.76
20,73.75,2025,2,24,2.96
20,74.375,2025,2,24,2.57
18.5,71.875,2025,2,25,3.94
18.5,72.5,2025,2,25,4.49
18.5,73.125,2025,2,25,3.54
18.5,73.75,2025,2,25,3.31
18.5,74.375,2025,2,25,3.34
19,71.875,2025,2,25,4.18
19,72.5,2025,2,25,4.49
19,73.125,2025,2,25,3.59
19,73.75,2025,2,25,3.11
19,74.375,2025,2,25,3.16
19.5,71.875,2025,2,25,4.14
19.5,72.5,2025,2,25,4.49
19.5,73.125,2025,2,25,3.71
19.5,73.75,2025,2,25,3.02
19.5,74.375,2025,2,25,2.9
20,71.875,2025,2,25,3.84
20,72.5,2025,2,25,4.17
20,73.125,2025,2,25,3.59
20,73.75,2025,2,25,2.81
20,74.375,2025,2,25,2.74
18.5,71.875,2025,2,26,4.01
18.5,72.5,2025,2,26,4.4
18.5,73.125,2025,2,26,3.41
18.5,73.75,2025,2,26,4
18.5,74.375,2025,2,26,3.97
19,71.875,2025,2,26,3.73
19,72.5,2025,2,26,4.05
19,73.125,2025,2,26,3.06
19,73.75,2025,2,26,3.74
19,74.375,2025,2,26,3.83
19.5,71.875,2025,2,26,3.31
19.5,72.5,2025,2,26,3.76
19.5,73.125,2025,2,26,2.94
19.5,73.75,2025,2,26,3.56
19.5,74.375,2025,2,26,3.6
20,71.875,2025,2,26,3.06
20,72.5,2025,2,26,3.35
20,73.125,2025,2,26,3.11
20,73.75,2025,2,26,3.54
20,74.375,2025,2,26,3.42
18.5,71.875,2025,2,27,4.21
18.5,72.5,2025,2,27,4.25
18.5,73.125,2025,2,27,3.52
18.5,73.75,2025,2,27,3.54
18.5,74.375,2025,2,27,3.44
19,71.875,2025,2,27,3.92
19,72.5,2025,2,27,3.9
19,73.125,2025,2,27,3.47
19,73.75,2025,2,27,3.37
19,74.375,2025,2,27,3.39
19.5,71.875,2025,2,27,3.61
19.5,72.5,2025,2,27,3.44
19.5,73.125,2025,2,27,3.54
19.5,73.75,2025,2,27,3.21
19.5,74.375,2025,2,27,3.16
20,71.875,2025,2,27,3.4
